INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2020,TURMA_2022,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-45,1,G,Não,"6,60",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,50","1,00","7,50","10,00","7,80","7,70","5,00"
Escola Pública,ALUNO-46,0,C,Não,"6,90",Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,50","10,00","7,50","0,00","7,50","7,50","10,00"
,ALUNO-47,,,,,,,,,,,,,,,
,ALUNO-48,,,,,,,,,,,,,,,
,ALUNO-49,,,,,,,,,,,,,,,
,ALUNO-50,,,,,,,,,,,,,,,
Escola Pública,ALUNO-51,0,D,Não,"8,90",Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,50","9,80","7,50","10,00","8,00","7,40","10,00"
Escola Pública,ALUNO-52,2,F,Não,"8,10",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","10,00","8,60","6,25","7,00","7,90","8,22","10,00"
Einstein,ALUNO-53,5,X,,"8,60",Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,17","10,00","7,50","8,20","0,00","0,00","10,00"
,ALUNO-54,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-55,6,C,Sim,"6,80",Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","0,00","9,00","7,50","6,30","8,28","8,60","5,00"
,ALUNO-56,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-57,6,B,Não,"7,30",Ametista,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","8,33","7,10","6,25","5,80","7,50","7,50","10,00"
,ALUNO-58,,,,,,,,,,,,,,,
Escola Pública,ALUNO-59,3,E,Não,"6,50",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","8,75","3,60","7,50","6,00","7,20","6,40","10,00"
Rede Decisão/União,ALUNO-60,5,F,Não,"7,60",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","7,50","9,70","6,88","6,60","8,40","8,10","5,00"
Escola Pública,ALUNO-61,1,N,Não,"5,60",Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,00","6,50","7,50","0,00","7,00","7,30","5,00"
Escola Pública,ALUNO-62,2,L,Não,"6,30",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","7,90","6,90","7,50","3,50","7,00","7,50","5,00"
,ALUNO-63,,,,,,,,,,,,,,,
,ALUNO-64,,,,,,,,,,,,,,,
,ALUNO-65,,,,,,,,,,,,,,,
,ALUNO-66,,,,,,,,,,,,,,,
,ALUNO-67,,,,,,,,,,,,,,,
Escola Pública,ALUNO-68,1,F,Não,"5,90",Quartzo,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,00","7,60","7,50","0,00","7,10","8,00","5,00"
,ALUNO-69,,,,,,,,,,,,,,,
,ALUNO-70,,,,,,,,,,,,,,,
Escola Pública,ALUNO-71,0,A,Não,"7,50",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,50","10,00","5,00","9,50","2,50","7,70","5,00"
,ALUNO-72,,,,,,,,,,,,,,,
,ALUNO-73,,,,,,,,,,,,,,,
,ALUNO-74,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-75,3,L,Sim,"9,60",Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","10,00","10,00","10,00","9,00","9,00","9,75","10,00"
Escola Pública,ALUNO-76,0,B,Não,"8,90",Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","8,92","10,00","10,00","10,00","7,50","6,58","10,00"
,ALUNO-77,,,,,,,,,,,,,,,
Escola Pública,ALUNO-78,1,A,Não,"7,30",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,50","9,00","7,50","5,50","7,10","7,60","5,00"
,ALUNO-79,,,,,,,,,,,,,,,
Escola Pública,ALUNO-80,2,N,Não,"6,40",Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","6,90","9,20","7,50","0,00","7,20","7,40","10,00"
Escola Pública,ALUNO-81,4,L,Sim,"7,30",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","5,42","8,80","7,50","6,00","8,00","9,11","5,00"
Escola Pública,ALUNO-82,0,D,Não,"7,90",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,50","10,00","7,50","8,50","7,00","7,30","5,00"
Rede Decisão/União,ALUNO-83,4,B,Sim,"8,10",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,17","9,40","5,63","5,30","8,90","9,10","10,00"
Escola Pública,ALUNO-84,0,B,Não,"8,70",Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,00","10,00","10,00","8,50","7,50","6,90","10,00"
Escola Pública,ALUNO-85,0,D,Não,"7,20",Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,50","9,90","2,50","10,00","2,50","6,67","5,00"
Escola Pública,ALUNO-86,6,A,Não,"5,60",Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,33","4,90","7,50","3,60","7,50","5,70","5,00"
Rede Decisão/União,ALUNO-87,4,L,Sim,"8,10",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","8,33","9,20","5,63","6,60","8,70","8,70","10,00"
Rede Decisão/União,ALUNO-88,2,D,Sim,"9,00",Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","10,00","9,40","7,50","9,50","5,90","9,58","10,00"
Escola Pública,ALUNO-89,0,G,Não,"7,90",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","10,00","10,00","7,50","7,50","7,00","7,50","5,00"
Escola Pública,ALUNO-90,3,M,Não,"7,00",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,33","5,80","7,50","7,60","7,97","7,50","5,00"
Escola Pública,ALUNO-91,2,H,Não,"6,80",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,00","6,40","6,88","4,50","6,00","7,58","10,00"
,ALUNO-92,,,,,,,,,,,,,,,
,ALUNO-93,,,,,,,,,,,,,,,
Escola Pública,ALUNO-94,3,B,Não,"6,70",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","7,08","6,00","7,50","4,00","7,97","7,50","10,00"
Escola Pública,ALUNO-95,3,A,Não,"7,30",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,58","8,20","7,50","6,60","7,97","6,70","5,00"
Escola Pública,ALUNO-96,7,A,Sim,"6,40",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,17","6,10","6,88","3,00","7,50","8,70","5,00"
Escola Pública,ALUNO-97,2,D,Não,"7,30",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,50","8,00","7,50","6,00","8,40","7,70","5,00"
,ALUNO-98,,,,,,,,,,,,,,,
,ALUNO-99,,,,,,,,,,,,,,,
Escola Pública,ALUNO-100,1,M,Não,"6,90",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,00","6,50","4,38","7,50","7,00","7,90","5,00"
,ALUNO-101,,,,,,,,,,,,,,,
Escola Pública,ALUNO-102,1,J,Não,"7,90",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","8,00","8,50","7,50","7,00","7,50","7,80","10,00"
Escola Pública,ALUNO-103,0,F,Não,"8,50",Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,00","10,00","7,50","8,50","7,80","7,30","10,00"
,ALUNO-104,,,,,,,,,,,,,,,
Escola Pública,ALUNO-105,3,B,Não,"8,50",Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,17","9,60","7,50","8,00","7,97","7,67","10,00"
Escola Pública,ALUNO-106,0,H,Não,"8,40",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,50","10,00","7,50","10,00","7,50","7,50","5,00"
,ALUNO-107,,,,,,,,,,,,,,,
,ALUNO-108,,,,,,,,,,,,,,,
,ALUNO-109,,,,,,,,,,,,,,,
,ALUNO-110,,,,,,,,,,,,,,,
Escola Pública,ALUNO-111,3,L,Não,"6,80",Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","7,92","7,70","7,50","4,50","7,97","7,80","5,00"
Escola Pública,ALUNO-112,3,H,Não,"6,40",Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","7,92","6,80","4,38","5,30","7,70","7,60","5,00"
Escola Pública,ALUNO-113,1,M,Não,"7,60",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,50","8,80","7,50","7,50","7,50","7,90","5,00"
,ALUNO-114,,,,,,,,,,,,,,,
Escola Pública,ALUNO-115,4,A,Não,"5,30",Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,17","1,90","6,88","5,10","7,90","5,10","5,00"
,ALUNO-116,,,,,,,,,,,,,,,
Escola Pública,ALUNO-117,1,M,Não,"8,00",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","8,00","8,90","7,50","9,50","7,10","7,90","5,00"
Escola Pública,ALUNO-118,1,D,Não,"8,30",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","8,50","7,70","7,50","10,00","7,10","7,40","10,00"
,ALUNO-119,,,,,,,,,,,,,,,
